season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,game_id,away_team,away_score,home_team,home_score,result
1999,1,CHI,REG,KC,31,47,322,2,0,1,-15,1,1,0,322,16,-4.002322042542073,,0,28,81,0,0,0,6,-6.414171131676994,0,31,46,322,2,0,0,0,0,16,8.268244638916077,0,0,40,3,3,0,0,0,1.0,5.0,1,1,41,4,0,0,0,0,0,0,0,0,0,6,44,3,0,0,4,92,2,2,0,0,24.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,21;24,,,45,0,0,2,2,0,0,1.0,0,0,0,0,0,,KC,17,CHI,20,3
1999,2,CHI,REG,SEA,23,44,216,0,0,3,-20,0,0,0,216,11,-3.7823785610754026,,0,30,115,1,1,1,8,-0.8078144392347895,0,23,44,216,0,0,0,0,0,11,0.8392757685132339,0,0,43,7,9,5,32,1,6.0,34.0,7,0,0,2,0,0,0,0,0,0,3,3,0,13,84,2,2,54,3,68,2,4,2,0,43.0,0.5,0,1,0,1,0,0,0,0,0,1,1,0,29;43,50;48,,72,98,0,1,1,0,0,1.0,0,1,1,0,48,,SEA,14,CHI,13,-1
1999,3,CHI,REG,LV,23,35,216,2,1,3,-18,2,1,4,216,9,1.2886193456455066,,0,16,34,0,0,0,1,-4.470099902129732,0,23,35,216,2,1,1,4,0,9,1.971624711712443,0,0,46,12,12,0,0,5,4.0,12.0,3,0,0,2,0,0,0,0,1,1,5,5,0,17,121,4,0,0,5,172,1,3,2,0,52.0,0.3333333333333333,0,0,0,0,1,0,0,0,0,2,0,0,52,48;46,,52,94,0,2,2,0,0,1.0,0,0,0,0,0,,CHI,17,OAK,24,7
1999,4,CHI,REG,NO,25,43,224,2,2,3,-12,1,1,24,224,11,-6.281112629814373,,0,28,112,0,1,1,8,-0.7226093360804953,0,25,43,224,2,1,1,24,0,11,-4.041756167640045,0,0,54,8,8,0,0,3,4.0,46.0,3,0,0,4,0,1,0,0,1,1,1,1,0,5,35,5,3,18,2,36,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,32,,0,32,0,2,2,0,0,1.0,0,0,0,0,0,,NO,10,CHI,14,4
1999,5,CHI,REG,MIN,28,42,281,2,0,1,-3,0,0,0,281,16,13.158798836655777,,0,33,101,0,0,0,5,-7.04744675458443,0,28,42,281,2,0,0,0,0,16,12.68763651916045,0,0,31,11,17,0,0,2,4.0,30.0,4,3,69,7,0,0,0,0,0,0,2,2,1,3,23,2,2,7,3,63,1,4,3,0,41.0,0.25,0,0,0,1,0,0,0,0,1,2,0,0,41,49;48;37,,41,134,0,3,3,0,0,1.0,0,0,0,0,0,,CHI,24,MIN,22,-2
1999,6,CHI,REG,PHI,17,33,255,1,2,4,-16,0,0,339,102,10,-7.715521510379847,,0,29,113,0,1,0,6,-3.2536105493938265,0,17,33,255,1,0,0,339,102,10,-2.2752621127678934,0,0,42,12,12,0,0,3,1.0,11.0,0,0,0,6,0,0,0,0,1,1,2,2,0,9,85,5,2,13,5,121,3,4,1,0,46.0,0.75,0,0,0,3,0,0,0,0,1,0,0,0,46;40;41,32,,127,32,0,1,1,0,0,1.0,0,0,0,0,0,,PHI,20,CHI,16,-4
1999,7,CHI,REG,TB,19,45,199,0,2,2,-10,1,0,20,199,9,-7.1765700956805025,,0,24,86,0,0,0,6,-0.870983865605746,0,19,43,199,0,0,0,20,0,9,-3.7388393673811455,0,0,31,11,27,3,17,1,2.0,20.0,1,0,0,1,0,0,0,0,1,1,0,0,0,6,55,4,6,34,3,80,1,2,1,0,28.0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,28,44,,28,44,0,0,0,0,0,,0,0,0,0,0,,CHI,3,TB,6,3
1999,8,CHI,REG,WAS,36,63,385,3,4,3,-14,0,0,55,385,17,1.4513061415636912,,0,26,74,0,2,1,7,-13.499595136745366,1,36,57,385,3,0,0,55,0,17,20.925771291018464,0,0,34,3,3,1,2,0,0.0,0.0,0,1,15,8,0,0,0,0,1,3,0,0,0,9,85,5,1,39,8,133,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0,,CHI,22,WAS,48,26
1999,9,CHI,REG,GB,18,34,157,1,3,1,-6,0,0,90,157,9,-1.5975919220257282,,0,29,160,1,1,1,10,0.11325987445889041,0,18,34,157,1,1,0,90,0,9,-0.45914933026169535,0,0,49,12,16,6,21,1,3.0,13.0,2,1,0,5,0,0,0,0,2,3,0,0,0,3,24,5,2,26,4,58,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,34,,0,34,0,2,2,0,0,1.0,0,0,0,0,0,,CHI,14,GB,13,-1
1999,10,CHI,REG,MIN,34,48,422,3,1,3,-15,2,1,293,252,16,9.720406554680876,,0,22,49,0,0,0,4,-7.470385713114551,0,34,48,422,3,1,0,293,232,16,18.02578707666332,0,0,50,8,8,5,15,2,3.0,25.0,1,1,-1,7,0,0,0,0,2,2,2,2,0,11,102,3,2,39,5,105,1,2,1,0,34.0,0.5,0,0,1,0,0,0,0,0,0,1,0,0,34,41,,34,41,0,3,3,0,0,1.0,0,0,0,0,0,,MIN,27,CHI,24,-3
1999,11,CHI,REG,LAC,25,39,357,1,0,1,-2,0,0,0,357,13,16.103690364415165,,0,28,75,1,1,0,5,-6.026879355357041,0,25,39,357,1,1,1,0,0,13,13.678659772808537,0,0,48,11,13,2,10,0,1.0,9.0,1,1,37,3,0,0,0,0,1,2,0,0,0,8,56,2,2,44,6,104,3,4,1,0,36.0,0.75,0,2,1,0,0,0,0,0,1,0,0,0,29;26;36,33,,91,33,0,2,2,0,0,1.0,1,1,0,0,36,,CHI,23,SD,20,-3
